date,open,high,low,close,volume,signal,ma_20,diff,distance,yearly_high,yearly_low,top_5
2018-05-27,8247.31711425781,7326.6440429688,7326.6440429688,7326.6440429688,1289488256.0,0,,,-920.6730712890103,7326.6440429688,,0
2018-05-28,8145.394677734371,7111.0688476562,7111.0688476562,7111.0688476562,1247227008.0,0,,,-1034.3258300781708,7111.0688476562,,1
2018-05-29,8055.508227539055,7451.2309570312,7451.2309570312,7451.2309570312,1770692351.9999998,0,,,-604.2772705078551,7451.2309570312,,0
2018-05-30,7976.05378417968,7380.8515625,7380.8515625,7380.8515625,2224251648.0,0,,,-595.2022216796804,7380.8515625,,0
2018-05-31,7928.784106445305,7460.1669921875,7460.1669921875,7460.1669921875,1772428160.0,0,,,-468.61711425780504,7460.1669921875,,0
2018-06-01,7879.108911132806,7487.076171875,7487.076171875,7487.076171875,1714862976.0,0,,,-392.0327392578056,7487.076171875,,0
2018-06-02,7823.28522949218,7567.5126953125,7567.5126953125,7567.5126953125,1637953792.0,0,,,-255.7725341796804,7567.5126953125,,0
2018-06-03,7770.430517578115,7639.8793945312,7639.8793945312,7639.8793945312,1531230080.0,0,,,-130.55112304691465,7639.8793945312,,0
2018-06-04,7719.945825195301,7463.6547851562,7463.6547851562,7463.6547851562,1432775424.0,0,,,-256.29104003910106,7463.6547851562,,0
2018-06-05,7681.240136718739,7569.0112304688,7569.0112304688,7569.0112304688,1643488896.0,0,,,-112.22890624993943,7569.0112304688,,0
2018-06-06,7658.716406249991,7605.5786132812,7605.5786132812,7605.5786132812,1754013568.0,0,,,-53.13779296879147,7605.5786132812,,0
2018-06-07,7629.264013671866,7613.77734375,7613.77734375,7613.77734375,1562706048.0,0,,,-15.48666992186645,7613.77734375,,0
2018-06-08,7598.290966796866,7561.166015625,7561.166015625,7561.166015625,1459894528.0,0,,,-37.12495117186609,7561.166015625,,0
2018-06-09,7546.878051757805,7415.0014648438,7415.0014648438,7415.0014648438,1362045056.0,0,,,-131.8765869140052,7415.0014648438,,0
2018-06-10,7467.503222656245,6767.4995117188,6767.4995117188,6767.4995117188,1102262784.0,0,,,-700.0037109374452,6767.4995117188,,0
2018-06-11,7411.044946289059,6880.1337890625,6880.1337890625,6880.1337890625,2788497408.0,0,,,-530.9111572265592,6880.1337890625,,0
2018-06-12,7362.32055664062,6581.828125,6581.828125,6581.828125,1973448704.0,0,,,-780.4924316406205,6581.828125,,0
2018-06-13,7300.853735351561,6334.0991210938,6334.0991210938,6334.0991210938,2060764032.0,0,,,-966.7546142577612,6334.0991210938,,0
2018-06-14,7259.488647460936,6644.720703125,6644.720703125,6644.720703125,2571112960.0000005,0,,,-614.7679443359357,6644.720703125,,0
2018-06-15,7213.385424804685,6406.8071289062,6406.8071289062,6406.8071289062,2354179072.0,0,,,-806.5782958984846,6406.8071289062,,0
2018-06-16,7170.994018554686,6478.8159179688,6478.8159179688,6478.8159179688,1740752640.0,0,,,-692.1781005858857,6478.8159179688,,0
2018-06-17,7136.383081054684,6418.8500976562,6418.8500976562,6418.8500976562,1306649216.0,0,,,-717.5329833984842,6418.8500976562,,0
2018-06-18,7097.698193359375,6677.533203125,6677.533203125,6677.533203125,1120785792.0,0,,,-420.1649902343752,6677.533203125,,0
2018-06-19,7064.089697265625,6708.681640625,6708.681640625,6708.681640625,1750367360.0,0,,,-355.40805664062464,6708.681640625,,0
2018-06-20,7026.80012207031,6714.3754882812,6714.3754882812,6714.3754882812,1649449856.0,0,,,-312.42463378911,6714.3754882812,,0
2018-06-21,6986.98791503906,6690.83203125,6690.83203125,6690.83203125,1626421504.0,0,,,-296.15588378905977,6690.83203125,,0
2018-06-22,6913.041259765625,6088.5795898438,6088.5795898438,6088.5795898438,1400178432.0,0,,,-824.461669921825,6088.5795898438,,0
2018-06-23,6839.519165039065,6169.4375,6169.4375,6169.4375,2932411136.0,0,,,-670.0816650390652,6169.4375,,0
2018-06-24,6774.321777343755,6159.70703125,6159.70703125,6159.70703125,1635692544.0,0,,,-614.6147460937545,6159.70703125,,0
2018-06-25,6707.963647460941,6241.8486328125,6241.8486328125,6241.8486328125,2452039424.0,0,,,-466.1150146484406,6241.8486328125,,0
2018-06-26,6631.17834472657,6069.8725585938,6069.8725585938,6069.8725585938,4326984704.0,0,,,-561.3057861327698,6069.8725585938,,0
2018-06-27,6556.34130859376,6117.0366210938,6117.0366210938,6117.0366210938,3248018176.0,0,,,-439.30468749996,6117.0366210938,,0
2018-06-28,6472.282446289069,5879.9887695312,5879.9887695312,5879.9887695312,2057221760.0,0,,,-592.2936767578694,5879.9887695312,,0
2018-06-29,6410.645214843755,6182.2568359375,6182.2568359375,6182.2568359375,1928320768.0,0,,,-228.38837890625473,6182.2568359375,,0
2018-06-30,6390.5952148437555,6366.4995117188,6366.4995117188,6366.4995117188,2341618944.0,0,,,-24.095703124955435,6366.4995117188,,0
2018-07-01,6362.23239746094,6312.8774414062,6312.8774414062,6312.8774414062,2086842496.0,0,,,-49.35495605473989,6312.8774414062,,0
2018-07-02,6362.918359375,6595.5473632812,6595.5473632812,6595.5473632812,2601785856.0,0,,,232.6290039061996,6595.5473632812,,0
2018-07-03,6371.09377441406,6497.607421875,6497.607421875,6497.607421875,3392521984.0,0,,,126.51364746093986,6497.607421875,,0
2018-07-04,6366.9938232421855,6562.7216796875,6562.7216796875,6562.7216796875,3013786624.0,0,,,195.7278564453145,6562.7216796875,,0
2018-07-05,6373.540502929684,6537.7407226562,6537.7407226562,6537.7407226562,3111969280.0,0,,,164.20021972651557,6537.7407226562,,0
2018-07-06,6379.764453124995,6603.294921875,6603.294921875,6603.294921875,3315114752.0,0,,,223.53046875000473,6603.294921875,,0
2018-07-07,6396.813745117184,6759.8359375,6759.8359375,6759.8359375,4742128128.0,0,,,363.0221923828158,6759.8359375,,0
2018-07-08,6397.968847656245,6700.6352539062,6700.6352539062,6700.6352539062,6047929344.000001,0,,,302.6664062499549,6700.6352539062,,0
2018-07-09,6394.94760742187,6648.2568359375,6648.2568359375,6648.2568359375,5015170560.000001,0,,,253.3092285156299,6648.2568359375,,0
2018-07-10,6374.3978759765605,6303.380859375,6303.380859375,6303.380859375,5246420992.0,0,,,-71.0170166015605,6303.380859375,,0
2018-07-11,6358.518017578121,6373.2348632812,6373.2348632812,6373.2348632812,4358427136.0,0,,,14.716845703079343,6373.2348632812,,0
2018-07-12,6365.618554687489,6230.5903320312,6230.5903320312,6230.5903320312,3969169408.0,0,,,-135.02822265628947,6230.5903320312,,0
2018-07-13,6369.566552734364,6248.3974609375,6248.3974609375,6248.3974609375,3534743552.0,0,,,-121.16909179686445,6248.3974609375,,0
2018-07-14,6373.888061523425,6246.1372070312,6246.1372070312,6246.1372070312,3951260928.0,0,,,-127.75085449222479,6246.1372070312,,0
2018-07-15,6379.28041992186,6349.6958007812,6349.6958007812,6349.6958007812,3709146624.0,0,,,-29.584619140659925,6349.6958007812,,0
2018-07-16,6412.871386718731,6741.6918945312,6741.6918945312,6741.6918945312,2857367552.0,0,,,328.82050781246926,6741.6918945312,,0
